id,nome,sigla,regiao_id,codigo_ibg,UF [-],area,Pop,Dens_dem,lat,long,rendimento_mensal_domiciliar
"1",Acre,AC,"3","12",Acre,164.173.431,"906876","4.47","-9","-70","917"
"2",Alagoas,AL,"4","27",Alagoas,27.830.656,"3365351","112.33","-10","-37","796"
"3",Amazonas,AM,"3","13",Amazonas,1.559.167.878,"4269995","2.23","-4","-65","893"
"4",AmapÃ¡,AP,"3","16",AmapÃ¡,142.470.762,"877613","4.69","1","-52","852"
"5",Bahia,BA,"4","29",Bahia,564.760.427,"14985284","24.82","-12","-42","965"
"6",CearÃ¡,CE,"4","23",CearÃ¡,148.894.442,"9240580","56.76","-5","-40","1028"
"7",Distrito Federal,DF,"5","53",Distrito Federal,5.760.784,"3094325","444.66","-16","-48","2475"
"8",EspÃ­rito Santo,ES,"2","32",EspÃ­rito Santo,46.074.447,"4108508","76.25","-20","-41","1347"
"9",GoiÃ¡s,GO,"5","52",GoiÃ¡s,340.242.854,"7206589","17.65","-16","-50","1258"
"10",MaranhÃ£o,MA,"4","21",MaranhÃ£o,329.651.495,"7153262","19.81","-5","-45","676"
"11",Minas Gerais,MG,"2","31",Minas Gerais,586.513.993,"21411923","33.41","-18","-45","1401"
"12",Mato Grosso do Sul,MS,"5","50",Mato Grosso do Sul,357.147.994,"2839188","6.86","-20","-55","1488"
"13",Mato Grosso,MT,"5","51",Mato Grosso,"903207.05","3567234","3.36","-13","-56","1314"
"14",ParÃ¡,PA,"3","15",ParÃ¡,1.245.870.707,"8777124","6.07","-4","-53","883"
"15",ParaÃ­ba,PB,"4","25",ParaÃ­ba,56.467.242,"4059905","66.7","-7","-37","892"
"16",Pernambuco,PE,"4","26",Pernambuco,"98067.88","9674793","89.62","-8","-38","1508"
"17",PiauÃ­,PI,"4","22",PiauÃ­,251.755.485,"3289290","12.4","-7","-43","897"
"18",ParanÃ¡,PR,"1","41",ParanÃ¡,199.298.982,"11597484","52.4","-25","-52","859"
"19",Rio de Janeiro,RJ,"2","33",Rio de Janeiro,43.750.426,"17463349","365.23","-22","-43","1723"
"20",Rio Grande do Norte,RN,"4","24",Rio Grande do Norte,52.809.601,"3560903","59.99","-6","-37","1077"
"21",RondÃ´nia,RO,"3","11",RondÃ´nia,237.765.347,"1815278","6.58","-11","-63","1759"
"22",Roraima,RR,"3","14",Roraima,223.644.527,"652713","2.01","2","-61","1169"
"23",Rio Grande do Sul,RS,"1","43",Rio Grande do Sul,281.707.149,"11466630","37.96","-30","-53","983"
"24",Santa Catarina,SC,"1","42",Santa Catarina,95.730.684,"7338473","65.27","-27","-50","1632"
"25",Sergipe,SE,"4","28",Sergipe,21.938.184,"2338474","94.36","-11","-37","1814"
"26",SÃ£o Paulo,SP,"2","35",SÃ£o Paulo,248.219.481,"46649132","166.23","-22","-49","1028"
"27",Tocantins,TO,"3","17",Tocantins,"277423.63","1607363","4.98","-10","-48","1060"
